OTUs,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
445,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens
446,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,Frankia alni
447,Bacteria,NA,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aggregans
448,Viruses,NA,NA,NA,NA,NA,NA,Haloarcula phage SH1
449,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Acaryochloris,Acaryochloris marina
450,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Friedmanniomyces,Friedmanniomyces simplex
451,Bacteria,NA,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Candidatus Nitrospira defluvii
452,Archaea,NA,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius
453,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus
454,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
455,Bacteria,NA,Proteobacteria,Alphaproteobacteria,NA,NA,NA,alpha proteobacterium BAL199
456,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis
457,Eukaryota,NA,Apicomplexa,Aconoidasida,NA,Theileriidae,Theileria,Theileria parva
458,Viruses,NA,NA,NA,NA,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 1
459,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
460,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium sp. AT7
461,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi
462,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum
463,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Finegoldia,Finegoldia magna
464,Bacteria,NA,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas eutropha
465,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter cryohalolentis
466,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei
467,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter fumaroxidans
468,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii
469,Viruses,NA,NA,NA,Caudovirales,Podoviridae,NA,Actinomyces phage Av-1
470,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Pelobacter,Pelobacter carbinolicus
471,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Pelobacter,Pelobacter propionicus
472,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens
473,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes
474,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
475,Archaea,NA,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae
476,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma capricolum
477,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter pseudethanolicus
478,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella petrii
479,Archaea,NA,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum
480,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium chlorochromatii
481,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
482,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Ctenocladales,Ctenocladaceae,Leptosira,Leptosira terrestris
483,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus
484,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum magneticum
485,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
486,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus
487,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Hpunalikevirus,Pasteurella phage F108
488,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica
489,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
490,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
491,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
492,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
493,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
494,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Sodalis,Sodalis glossinidius
495,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella boydii
496,Bacteria,NA,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces maris
497,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
498,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
499,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hominis
500,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma agalactiae
501,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,Yualikevirus,Pseudomonas phage M6
502,Eukaryota,NA,Chromerida,NA,NA,NA,NA,Chromerida sp. RM11
503,Archaea,NA,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,Natronomonas pharaonis
504,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. PRwf-1
505,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus reuteri
506,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila
507,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,Desulfotomaculum reducens
508,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum
509,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Methanosaeta thermophila
510,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc citreum
511,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis
512,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila
513,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia intermedia
514,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia frederiksenii
515,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia mollaretii
516,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia bercovieri
517,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium gilvum
518,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium vanbaalenii
519,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus oremlandii
520,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia dolosa
521,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
522,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. AzwK-3b
523,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae
524,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter hydrocarbonoclasticus
525,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter uraniireducens
526,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus
527,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus
528,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. W3-18-1
529,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
530,Bacteria,NA,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Pyramidobacter piscolens
531,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage Tuc2009
532,Eukaryota,NA,NA,NA,Dictyosteliida,NA,Dictyostelium,Dictyostelium discoideum
533,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Mardivirus,Gallid herpesvirus 3
534,Eukaryota,NA,Apicomplexa,Coccidia,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,Cryptosporidium parvum
535,Eukaryota,NA,Apicomplexa,Aconoidasida,NA,Theileriidae,Theileria,Theileria annulata
536,Viruses,NA,NA,NA,Caudovirales,Myoviridae,P2likevirus,Pseudomonas phage phiCTX
537,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage TP901-1
538,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage P335 sensu lato
539,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,Tunalikevirus,Enterobacteria phage RTP
540,Bacteria,NA,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,Leptospira borgpetersenii
541,Bacteria,NA,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,Leptospira biflexa
542,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ingrahamii
543,Bacteria,NA,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Roseiflexus,Roseiflexus sp. RS-1
544,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium phytofermentans
545,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus brevis
546,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae
547,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella bacilliformis
548,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus
549,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus
550,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hominis
551,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
552,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
553,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella avium
554,Bacteria,NA,Firmicutes,Bacilli,Bacillales,NA,Exiguobacterium,Exiguobacterium sp. AT1b
555,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
556,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium ulcerans
557,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,Lawsonia intracellularis
558,Eukaryota,NA,Apicomplexa,Aconoidasida,Haemosporida,NA,Plasmodium,Plasmodium falciparum
559,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,C2likevirus,Lactococcus phage bIL67
560,Viruses,NA,NA,NA,Caudovirales,Myoviridae,NA,Lactobacillus phage KC5a
561,Viruses,NA,NA,NA,NA,Iridoviridae,Lymphocystivirus,Lymphocystis disease virus 1
562,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans
563,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis
564,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium medicae
565,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp. K31
566,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter butzleri
567,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Agaricia,Agaricia humilis
568,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus
569,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri
570,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Wigglesworthia,Wigglesworthia glossinidia
571,Eukaryota,Viridiplantae,Chlorophyta,Prasinophyceae,Pyramimonadales,NA,Pyramimonas,Pyramimonas parkeae
572,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora,Salinispora tropica
573,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,Pelotomaculum thermopropionicum
574,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
575,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptomyces phage mu1/6
576,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Mardivirus,Meleagrid herpesvirus 1
577,Viruses,NA,NA,NA,NA,Virgaviridae,Pomovirus,Potato mop-top virus
578,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter sp. SW2
579,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptococcus phage M102
580,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,Buchnera aphidicola
581,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Mycobacterium phage Qyrzula
582,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pestis
583,Bacteria,NA,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,Halothermothrix orenii
584,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,Candidatus Baumannia cicadellinicola
585,Viruses,NA,NA,NA,NA,Microviridae,Microvirus,Enterobacteria phage phiX174 sensu lato
586,Viruses,NA,NA,NA,NA,Microviridae,Microvirus,Enterobacteria phage G4 sensu lato
587,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae
588,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. Marseille
589,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter denitrificans
590,Bacteria,NA,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae
591,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Propionibacterium phage PA6
592,Bacteria,NA,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Candidatus Phytoplasma mali
593,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces marneffei
594,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium ferrooxidans
595,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,Teredinibacter,Teredinibacter turnerae
596,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rhizophila
597,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Stigmatella,Stigmatella aurantiaca
598,Bacteria,NA,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca
599,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri
600,Viruses,NA,NA,NA,NA,Baculoviridae,Alphabaculovirus,Plutella xylostella multiple nucleopolyhedrovirus
601,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas albilineans
602,Viruses,NA,NA,NA,NA,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus AR158
603,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
604,Bacteria,NA,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,Hydrogenobaculum sp. Y04AAS1
605,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus necator
606,Bacteria,NA,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Fervidobacterium,Fervidobacterium nodosum
607,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
608,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,NA,NA,Verrucomicrobiae bacterium DG1235
609,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter acinonychis
610,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella tribocorum
611,Bacteria,NA,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Roseiflexus,Roseiflexus castenholzii
612,Bacteria,NA,Proteobacteria,Betaproteobacteria,Methylophilales,NA,NA,Methylophilales bacterium HTCC2181
613,Archaea,NA,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum islandicum
614,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas entomophila
615,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia aggregata
616,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria welshimeri
617,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium novyi
618,Viruses,NA,NA,NA,Caudovirales,Podoviridae,Phikmvlikevirus,Pseudomonas phage LKA1
619,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,NA,NA,Nitratiruptor,Nitratiruptor sp. SB155-2
620,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,NA,NA,Sulfurovum,Sulfurovum sp. NBC37-1
621,Viruses,NA,NA,NA,NA,Poxviridae,Yatapoxvirus,Yaba monkey tumor virus
622,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri
623,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata
624,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. B14905
625,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,Rhodobacteraceae bacterium HTCC2150
626,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. SK209-2-6
627,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis
628,Viruses,NA,NA,NA,Herpesvirales,Alloherpesviridae,Batrachovirus,Ranid herpesvirus 2
629,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
630,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
631,Viruses,NA,NA,NA,Caudovirales,Myoviridae,P2likevirus,Mannheimia phage phiMHaA1
632,Bacteria,NA,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermosipho,Thermosipho melanesiensis
633,Viruses,NA,NA,NA,NA,Retroviridae,Deltaretrovirus,Primate T-lymphotropic virus 3
634,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora,Salinispora arenicola
635,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis
636,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,NA,NA,Vibrionales bacterium SWAT-3
637,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. GAI101
638,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio shilonii
639,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,Caminibacter mediatlanticus
640,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. CCS2
641,Bacteria,NA,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. BAL39
642,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter sp. MED105
643,Bacteria,NA,Bacteroidetes,Flavobacteriia,Flavobacteriales,NA,NA,Flavobacteria bacterium BAL38
644,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. BAL3
645,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. SKA14
646,Bacteria,NA,Bacteroidetes,Flavobacteriia,Flavobacteriales,NA,NA,Flavobacteriales bacterium ALC-1
647,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus
648,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Cyanothece,Cyanothece sp. CCY0110
649,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. TM1035
650,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,gamma proteobacterium HTCC5015
651,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,Oceanibulbus indolifex
652,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis pacifica
653,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter eiseniae
654,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris
655,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia bellii
656,Bacteria,NA,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
657,Bacteria,NA,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,Hydrogenivirga sp. 128-5-R1-1
658,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas wittichii
659,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella woodyi
660,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
661,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
662,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
663,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
664,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
